unix,date,symbol,open,high,low,close,Volume JPY,Volume BTC
1649034000000,2022-04-04 01:00:00,BTC/JPY,5611699.99999975,5637899.99999962,5605400.00000003,5619499.99999949,37601511.181366585,6.69125566
1649030400000,2022-04-04 00:00:00,BTC/JPY,5687108.99540312,5690199.99999974,5592299.99999948,5612899.99999995,97430736.65496813,17.35835961
1649026800000,2022-04-03 23:00:00,BTC/JPY,5723000.0000004,5723000.0000004,5672400.00000013,5685720.69524803,69747145.31106927,12.26707203
1649023200000,2022-04-03 22:00:00,BTC/JPY,5755140.99314718,5838299.99999996,5718400.00000021,5723399.99999945,134289737.4387951,23.46328012
1649019600000,2022-04-03 21:00:00,BTC/JPY,5683799.99999982,5746603.52195999,5681000.00000023,5746603.52195999,40447018.81532755,7.03842168
1649016000000,2022-04-03 20:00:00,BTC/JPY,5688599.99999968,5698299.99999945,5685200.00000022,5685200.00000022,10732311.799456414,1.88776328
1649012400000,2022-04-03 19:00:00,BTC/JPY,5707100.80350003,5719363.62275399,5688099.99999952,5688599.99999968,24340450.739602633,4.27881214
1649008800000,2022-04-03 18:00:00,BTC/JPY,5683099.99999943,5732600.00000018,5678400.00000053,5715500.0,28736076.376034997,5.02774497
1649005200000,2022-04-03 17:00:00,BTC/JPY,5671200.00000037,5683599.99999967,5665499.99999943,5680099.99999967,6042079.765570649,1.06372771
1649001600000,2022-04-03 16:00:00,BTC/JPY,5685099.99999993,5694100.0000003,5660900.00000047,5674699.99999997,12835496.337687932,2.26188104
1648998000000,2022-04-03 15:00:00,BTC/JPY,5710700.00000021,5723000.00000006,5680199.99999951,5685099.99999993,3356805.726275959,0.59045676
1648994400000,2022-04-03 14:00:00,BTC/JPY,5689600.00000011,5709899.99999974,5674399.99999979,5709899.99999974,8817157.519526599,1.54418773
1648990800000,2022-04-03 13:00:00,BTC/JPY,5683900.00000045,5714099.99999975,5671600.0000006,5689700.00000017,22696536.19047568,3.98905675
